이름,위도,경도,주소,분류,행정동
마을회관,36.96270681,127.1363026,성환읍 안궁2길 94,실외운동기구,성환읍
마을회관,36.96672937,127.1182132,성환읍 문화촌2길 7-14,실외운동기구,성환읍
마을회관,36.96619393,127.1525226,성환읍 대령길 5-2,실외운동기구,성환읍
마을회관,36.96382376,127.1545764,성환읍 양령1길 125,실외운동기구,성환읍
마을공터,36.93802593,127.1402132,성환읍 대홍리 356-12,실외운동기구,성환읍
노인회관,36.93403896,127.0816426,성환읍 신무길 37,실외운동기구,성환읍
마을회관,36.92919113,127.1174012,성환읍 와룡길 60,실외운동기구,성환읍
마을회관,36.92592711,127.1305227,성환읍 성환18길 11-45,실외운동기구,성환읍
노인회관,36.94787551,127.1640374,성환읍 도감1길 1,실외운동기구,성환읍
마을공터,36.91960656,127.1328865,성환읍 성환리 309-34,실외운동기구,성환읍
마을회관,36.94588474,127.1397185,성환읍 홍경길 98,실외운동기구,성환읍
마을회관,36.91317653,127.1420764,성환읍 성월1길 15-1,실외운동기구,성환읍
마을회관,36.76656603,127.1489401,구룡동 280-2,실외운동기구,청룡동
마을회관,36.81364887,127.1753625,유량동 406-99,실외운동기구,신안동
마을회관,36.94968928,127.113936,성환읍 신가리 340-3,실외운동기구,성환읍
등산로,36.90635994,127.1465864,성환읍 매주리 산8-1,실외운동기구,성환읍
아파트단지,36.90274734,127.1093742,성환읍 율금1길 276,실외운동기구,성환읍
노인회관,36.91918775,127.1260913,성환읍 성환21길 23,실외운동기구,성환읍
마을공터,36.95448042,127.1737182,성환읍 양령리 90-42,실외운동기구,성환읍
공원,36.90798579,127.1190102,성환읍 매주리 477-3,실외운동기구,성환읍
구성1공원,36.79761083,127.1622672,충청남도 천안시 동남구 구성동 435-1,야외휴게쉼터,청룡동
도솔광장,36.82453943,127.1615325,충청남도 천안시 동남구 신부동 124 일원,야외휴게쉼터,신안동
창환주택 단지 안,36.91291818,127.1327308,충청남도 천안시 서북구 성환읍 성환리 406,야외휴게쉼터,성환읍
수향1리경로회관,36.95115212,127.1436744,충청남도 천안시 서북구 성환읍 수향리 290,야외휴게쉼터,성환읍
양령2리마을회관,36.96419971,127.1538739,충청남도 천안시 서북구 성환읍 양령리 461-6,야외휴게쉼터,성환읍
도로변(연암율금로),36.90837366,127.1192424,충청남도 천안시 서북구 성환읍 매주리 477-4,야외휴게쉼터,성환읍
노인회관 옆,36.96727986,127.1198146,충청남도 천안시 서북구 성환읍 신가리 113-85,야외휴게쉼터,성환읍
신가2리 복지회관,36.95244156,127.1147892,충청남도 천안시 서북구 성환읍 신가리 386-29,야외휴게쉼터,성환읍
천안향교 앞,36.81694817,127.1724798,충청남도 천안시 동남구 유량동 230-1,야외휴게쉼터,신안동
왕림3리 노인회관,36.92711778,127.0884141,충청남도 천안시 서북구 성환읍 왕림리 104-12,야외휴게쉼터,성환읍
신부공원,36.82003672,127.1596397,충청남도 천안시 동남구 신부동 811 일원,야외휴게쉼터,신안동
청수2공원,36.78742049,127.148769,충청남도 천안시 동남구 청수동 270,야외휴게쉼터,청룡동
청당1공원,36.78659694,127.1535383,충청남도 천안시 동남구 청당동 474,야외휴게쉼터,청룡동
청당2공원,36.78332001,127.1578967,충청남도 천안시 동남구 청당동 546,야외휴게쉼터,청룡동
청당3공원,36.78902469,127.1570837,충청남도 천안시 동남구 청당동 602,야외휴게쉼터,청룡동
신부1공원,36.81988274,127.1619565,충청남도 천안시 동남구 신부동 497-1,야외휴게쉼터,신안동
신부6공원,36.82367503,127.1554253,충청남도 천안시 동남구 신부동 542,야외휴게쉼터,신안동
신부8공원,36.82176422,127.1602545,충청남도 천안시 동남구 신부동 671,야외휴게쉼터,신안동
성정9공원,36.82245414,127.1500804,충청남도 천안시 동남구 신부동 888,야외휴게쉼터,신안동
안서3어린이공원,36.82827909,127.1856879,충청남도 천안시 동남구 안서동 270-5,야외휴게쉼터,신안동
안서2어린이공원,36.83036578,127.179171,충청남도 천안시 동남구 안서동 228-6,야외휴게쉼터,신안동
청수1공원,36.78843988,127.1534868,충청남도 천안시 동남구 청수동 330,야외휴게쉼터,청룡동
구성2공원,36.78993874,127.1557407,충청남도 천안시 동남구 청수동 264,야외휴게쉼터,청룡동
청당1공원,36.78024929,127.155499,충청남도 천안시 동남구 청당동 142-9,야외휴게쉼터,청룡동
청당2공원,36.77806928,127.1539952,충청남도 천안시 동남구 청당동 120-8,야외휴게쉼터,청룡동
청당골공원(청당5공원),36.78545532,127.1600302,충청남도 천안시 동남구 청당동 651,야외휴게쉼터,청룡동
청당6공원,36.78330585,127.1606689,충청남도 천안시 동남구 청당동 776,야외휴게쉼터,청룡동
뒷들공원(청당7공원),36.78243638,127.1622453,충청남도 천안시 동남구 청당동 870,야외휴게쉼터,청룡동
안서1공원,36.84020122,127.1793179,충청남도 천안시 동남구 안서동 526-153,야외휴게쉼터,신안동
성환4공원,36.9123303,127.1344994,충청남도 천안시 서북구 성환읍 성월리 93-28번지,야외휴게쉼터,성환읍
북부스포츠센터 인라인스케이트장 옆,36.89977237,127.1319951,충청남도 천안시 서북구 성환읍 성환1로45,야외휴게쉼터,성환읍
