시군구명,읍면동명,,연도,,쉼터명칭,상세주소,사용여부,시설면적,이용가능인원수,소재지지번주소,경도,위도,시설유형명
천안시 서북구 성환읍, 서북구 성환읍,,2024,,안궁1리 경로당,충청남도 천안시 서북구 성환읍 안궁1길 240,Y,100,25,충청남도 천안시 서북구 성환읍 안궁1길 240,127.1468242,36.957095,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,안궁5리 경로당,충청남도 천안시 서북구 성환읍 문화촌2길 7-14,Y,86,21,충청남도 천안시 서북구 성환읍 문화촌2길 7-14,127.118211,36.9667048,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,도하1리 경로당,충청남도 천안시 서북구 성환읍 도감1길 1,Y,66,16,충청남도 천안시 서북구 성환읍 도감1길 1,127.1640831,36.9478715,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,도하2리 경로당,충청남도 천안시 서북구 성환읍 하리1길 50-1,Y,90,22,충청남도 천안시 서북구 성환읍 하리1길 50-1,127.1691104,36.9457189,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,대홍5리 경로당,충청남도 천안시 서북구 성환읍 연암로 19,Y,100,20,충청남도 천안시 서북구 성환읍 연암로 19,127.1343612,36.9490583,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,성월2리 경로당,충청남도 천안시 서북구 성환읍 성월2길 13,Y,95,23,충청남도 천안시 서북구 성환읍 성월2길 13,127.1363934,36.9183731,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,매주1리 경로당,충청남도 천안시 서북구 성환읍 매주2길 80,Y,133,31,충청남도 천안시 서북구 성환읍 매주2길 80,127.1308523,36.9015281,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,매주5리(삼풍APT) 경로당,충청남도 천안시 서북구 성환읍 성환2로 56 (삼풍아파트),Y,281,54,충청남도 천안시 서북구 성환읍 성환2로 56 (삼풍아파트),127.1315535,36.9120285,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,매주6리(충효관) 경로당,충청남도 천안시 서북구 성환읍 상덕매주길 118,Y,191,47,충청남도 천안시 서북구 성환읍 상덕매주길 118,127.1235102,36.9013367,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,매주7리(부영1차아파트),충청남도 천안시 서북구 성환읍 천안대로 1843 (부영아파트),Y,76,43,충청남도 천안시 서북구 성환읍 천안대로 1843 (부영아파트),127.1345277,36.9028661,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,매주9리(부영2차아파트),충청남도 천안시 서북구 성환읍 천안대로 1853 (부영아파트),Y,32,31,충청남도 천안시 서북구 성환읍 천안대로 1853 (부영아파트),127.1347,36.9044513,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,매주10리(부영3차아파트),충청남도 천안시 서북구 성환읍 천안대로 1853 (부영아파트),Y,140,18,충청남도 천안시 서북구 성환읍 천안대로 1853 (부영아파트),127.1344854,36.9051715,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,성환4리 경로당,충청남도 천안시 서북구 성환읍 성환16길 12,Y,66,39,충청남도 천안시 서북구 성환읍 성환16길 12,127.1318486,36.9202044,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,성환5리 경로당,충청남도 천안시 서북구 성환읍 성환11길 35-14,Y,60,55,충청남도 천안시 서북구 성환읍 성환11길 35-14,127.1320724,36.91705,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,성환7리 경로당,충청남도 천안시 서북구 성환읍 성환4길 35,Y,66,67,충청남도 천안시 서북구 성환읍 성환4길 35,127.1291399,36.9146732,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,우신1리 경로당,충청남도 천안시 서북구 성환읍 와룡길 60,Y,33,48,충청남도 천안시 서북구 성환읍 와룡길 60,127.1173843,36.9291587,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,와룡2리 경로당,충청남도 천안시 서북구 성환읍 가동길 41-84,Y,101,31,충청남도 천안시 서북구 성환읍 가동길 41-84,127.1076762,36.9559974,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,와룡3리 경로당,충청남도 천안시 서북구 성환읍 북농촌길 29,Y,86,35,충청남도 천안시 서북구 성환읍 북농촌길 29,127.1016532,36.9579509,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,대홍1리 경로당,충청남도 천안시 서북구 성환읍 대홍4길 19,Y,185,60,충청남도 천안시 서북구 성환읍 대홍4길 19,127.1406078,36.9392846,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,골드맨션경로당(매주4리),충청남도 천안시 서북구 성환읍 성환1로 204,Y,60,44,충청남도 천안시 서북구 성환읍 성환1로 204,127.1290018,36.912889,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,매주11리 경로당,충청남도 천안시 서북구 성환읍 성환2로 40,Y,73,83,충청남도 천안시 서북구 성환읍 성환2로 40,127.1311307,36.911286,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,성환읍사무소,충청남도 천안시 서북구 성환읍 성환13길 7,Y,100,20,충청남도 천안시 서북구 성환읍 성환13길 7,127.134403,36.9181303,주민센터
천안시 서북구 성환읍, 서북구 성환읍,,2024,,대한노인회성환읍분회,충청남도 천안시 서북구 성환읍 성환8길 19,Y,116,45,충청남도 천안시 서북구 성환읍 성환8길 19,127.1346146,36.9163714,노인시설
천안시 서북구 성환읍, 서북구 성환읍,,2024,,성환1리 경로당,충청남도 천안시 서북구 성환읍 성환14길 13-2,Y,116,29,충청남도 천안시 서북구 성환읍 성환14길 13-2,127.1271577,36.9192883,노인시설
